14,14
108,108
106,106
10,10
132,1
138,138
69,69
2,2
125,1
1,106
106,106
16,1
12,12
136,136
14,14
1,106
21,21
12,12
137,137
135,135
10,10
106,106
133,1
106,106
107,107
3,3
106,106
95,1
14,14
1,106
20,20
13,13
133,133
92,92
10,10
9,9
8,8
22,22
106,106
106,106
135,135
140,140
106,106
137,137
125,125
9,9
128,128
35,35
106,106
2,2
133,133
52,52
132,132
11,11
71,71
136,136
137,137
128,128
131,131
7,7
81,81
23,1
135,135
52,52
52,52
131,131
10,10
82,82
13,13
119,1
1,106
95,1
1,106
64,64
119,1
1,16
10,10
24,24
132,132
12,12
106,106
23,23
33,33
7,7
20,20
136,136
106,106
132,132
10,10
106,106
138,138
2,1
1,106
23,23
106,106
135,135
2,2
13,13
12,12
25,1
1,106
113,113
95,1
132,1
135,135
1,106
2,1
1,106
82,82
135,135
137,137
15,15
10,10
14,14
24,24
38,38
133,133
23,23
68,68
107,107
12,12
133,133
2,1
62,62
1,106
135,135
132,132
120,120
94,94
15,15
12,12
52,52
133,133
47,47
136,136
52,52
138,138
10,10
81,81
137,137
106,106
140,140
134,134
136,136
2,2
57,57
135,135
129,129
7,7
128,128
35,35
33,33
10,10
125,125
34,34
82,82
16,16
11,11
63,63
125,125
133,133
81,81
106,106
80,80
133,133
83,83
106,106
13,13
3,3
23,23
131,131
135,135
138,138
11,11
7,7
52,52
135,135
1,107
18,18
135,135
15,15
114,114
1,7
23,23
133,133
141,141
106,106
20,20
139,1
16,16
135,135
10,10
92,92
13,13
2,2
23,23
125,125
137,137
2,2
10,10
22,22
23,23
24,24
62,62
133,133
132,132
115,115
135,135
133,133
135,135
134,134
24,24
23,23
2,2
36,1
135,135
16,1
125,125
130,130
1,2
106,106
129,129
119,119
137,137
97,97
45,45
59,1
54,54
44,44
110,110
26,26
54,54
54,54
90,90
74,74
74,1
74,1
26,26
117,117
26,26
40,40
42,42
79,79
97,97
99,99
4,4
40,40
102,102
78,1
51,51
54,54
1,19
117,117
4,4
123,123
85,85
1,72
1,91
112,112
117,117
60,60
44,1
1,37
4,4
4,4
44,44
90,90
40,40
45,45
48,48
85,85
53,53
53,53
127,127
78,78
73,73
116,116
89,89
26,26
116,116
87,87
88,88
1,4
111,111
98,98
53,53
78,78
70,70
44,44
1,4
44,44
40,1
4,4
32,32
60,60
1,46
1,39
91,91
28,28
28,28
1,4
40,40
41,41
90,90
44,44
99,99
44,44
117,117
78,1
4,4
1,48
98,98
32,32
44,44
111,1
101,101
26,1
1,56
1,97
4,4
26,26
46,46
91,91
44,44
1,87
1,117
1,124
51,51
73,73
111,111
111,1
117,117
99,1
1,77
1,91
89,89
26,1
1,40
44,44
48,48
111,111
40,40
123,123
104,104
1,117
66,66
49,49
40,40
45,45
85,85
46,46
1,78
50,50
75,1
124,124
6,6
103,103
5,5
27,27
90,90
127,127
123,123
26,26
1,46
30,30
31,31
99,99
109,109
116,116
122,122
124,124
61,61
111,111
86,86
1,123
100,100
54,54
40,40
60,60
93,93
40,40
65,65
105,105
84,84
90,90
1,88
76,76
97,97
44,44
43,43
96,96
44,44
110,1
1,89
55,55
116,116
29,29
74,74
17,17
124,124
1,122
4,4
126,126
118,118
44,44
4,4
90,1
4,4
123,123
67,67
60,60
40,40
87,1
58,58
1,91
1,78
1,121
1,26
90,1
54,54
17,17
44,44
97,97
