"outcome","Comparison","Z","P.unadj","P.adj","significant","kw_p_value"
"satisfaction_benefits","E - M",0.143087911032751,0.886220752295485,0.886220752295485,FALSE,0.00555622550596992
"satisfaction_benefits","E - S",2.6121958380794,0.0089962704033589,0.0179925408067178,TRUE,0.00555622550596992
"satisfaction_benefits","M - S",2.77986366850636,0.00543817238235823,0.0163145171470747,TRUE,0.00555622550596992
"satisfaction_tensions",NA,NA,NA,NA,NA,0.873100769250398
"performance_benefits",NA,NA,NA,NA,NA,0.607849825623333
"performance_tensions",NA,NA,NA,NA,NA,0.653721878036549
"activity_frequency",NA,NA,NA,NA,NA,0.608006389425658
"communication_benefits","E - M",-0.0220316739944513,0.982422689471463,0.982422689471463,FALSE,0.0427217428682347
"communication_benefits","E - S",1.95442415146715,0.0506510767983624,0.101302153596725,FALSE,0.0427217428682347
"communication_benefits","M - S",2.23061526019146,0.0257066250918697,0.0771198752756092,FALSE,0.0427217428682347
"communication_tensions",NA,NA,NA,NA,NA,0.0727755048550017
"efficiency_benefits","E - M",0.391786889329574,0.69521568302369,0.69521568302369,FALSE,0.00933076192206513
"efficiency_benefits","E - S",2.61999917695078,0.00879299791797426,0.0263789937539228,TRUE,0.00933076192206513
"efficiency_benefits","M - S",2.49824918400124,0.0124808428003922,0.0249616856007844,TRUE,0.00933076192206513
"efficiency_tensions","E - M",-0.863883407036232,0.387651942853388,0.387651942853388,FALSE,0.0191458887967124
"efficiency_tensions","E - S",1.56142445592372,0.118423635318556,0.236847270637113,FALSE,0.0191458887967124
"efficiency_tensions","M - S",2.77032283682839,0.00560007559783963,0.0168002267935189,TRUE,0.0191458887967124
