Identificador;Senioridade;Frequencia de uso;Q15.1;Q15.2;Q15.3;Q15.4;Q15.5;Q15.6;Q15.7;Q15.8;Q15.9;Q19.1;Q19.2;Q19.3;Q19.4;Q19.5;Q19.6;Q19.7;Q19.8;Q23.1;Q23.2;Q23.3;Q23.4;Q23.5;Q23.6;Q23.7;Q23.8;Q23.9;Q27.1;Q27.2;Q27.3;Q27.4;Q27.5;Q27.6;Q27.7;Q27.8;Q31.1;Q31.2;Q31.3;Q31.4;Q31.5;Q31.6;Q31.7;Q31.8;"
Q31.9"
Dev_20;Pleno;Utilizo Muito Frequentemente;5;1;2;1;2;3;4;5;3;1;1;1;5;2;1;5;5;Eventualmente;Muito frequente;Muito frequente;Eventualmente;Muito frequente;Frequente;Raramente;Muito frequente;Raramente;3;1;1;5;5;4;5;5;5;1;5;3;4;2;1;1;1
Dev_21;Senior;Utilizo Frequentemente;4;3;2;2;2;1;3;4;4;4;4;1;3;4;2;3;4;Frequente;Eventualmente;Frequente;Eventualmente;Frequente;Eventualmente;Frequente;Raramente;Raramente;4;3;4;4;4;4;2;4;3;4;4;2;3;3;3;4;2
Dev_22;Senior;Utilizo Muito Frequentemente;5;3;4;4;4;4;5;3;3;4;4;1;4;4;3;3;5;Muito frequente;Muito frequente;Muito frequente;Muito frequente;Muito frequente;Muito frequente;Muito frequente;Frequente;Frequente;4;4;2;5;4;5;4;5;5;3;5;5;4;4;4;5;3
Dev_23;Pleno;Utilizo Muito Frequentemente;5;1;4;3;3;3;5;4;5;4;3;1;5;4;1;4;5;Eventualmente;Muito frequente;Muito frequente;Muito frequente;Muito frequente;Eventualmente;Muito frequente;Muito frequente;Nunca;4;1;5;5;5;5;5;5;5;2;5;5;3;5;5;3;5
Dev_24;Pleno;Utilizo Frequentemente;4;3;4;3;3;2;5;5;5;4;5;1;3;4;3;4;5;Frequente;Muito frequente;Muito frequente;Muito frequente;Raramente;Eventualmente;Frequente;Raramente;Eventualmente;5;3;3;5;4;2;3;3;3;4;5;5;4;4;4;4;3
Dev_25;Senior;Utilizo Muito Frequentemente;5;1;1;1;1;1;5;1;1;3;1;1;5;1;1;4;4;Eventualmente;Frequente;Frequente;Frequente;Frequente;Frequente;Frequente;Frequente;Raramente;2;2;1;5;5;3;4;5;3;2;4;4;4;3;4;3;3
Dev_26;Júnior;Utilizo Muito Frequentemente;5;1;5;1;1;1;4;2;2;4;3;1;2;2;2;4;5;Muito frequente;Eventualmente;Muito frequente;Muito frequente;Muito frequente;Raramente;Muito frequente;Muito frequente;Nunca;3;1;1;2;5;3;4;5;4;3;5;3;1;4;4;4;2
Dev_27;Júnior;Utilizo Eventualmente;2;2;4;4;3;1;2;1;1;3;3;2;3;2;4;4;4;Nunca;Frequente;Frequente;Frequente;Raramente;Eventualmente;Eventualmente;Frequente;Nunca;4;3;4;3;4;4;3;4;4;3;4;4;4;4;4;4;4
Dev_28;Senior;Utilizo Frequentemente;2;4;5;4;4;5;1;1;1;3;4;1;1;2;3;1;3;Eventualmente;Eventualmente;Muito frequente;Eventualmente;Muito frequente;Raramente;Muito frequente;Frequente;Nunca;1;4;1;4;1;5;4;1;1;3;4;1;1;1;1;4;4
Dev_29;Pleno;Utilizo Eventualmente;5;4;5;1;1;1;4;3;4;2;2;4;5;2;3;5;5;Raramente;Eventualmente;Eventualmente;Frequente;Eventualmente;Eventualmente;Raramente;Raramente;Raramente;4;3;3;4;4;4;2;4;4;2;4;3;4;4;4;4;4
