"outcome","Comparison","Z","P.unadj","P.adj","significant","kw_p_value"
"satisfaction_benefits","E - S",2.6121958380794,0.0089962704033589,0.0179925408067178,TRUE,0.00555622550596992
"satisfaction_benefits","M - S",2.77986366850636,0.00543817238235823,0.0163145171470747,TRUE,0.00555622550596992
"efficiency_benefits","E - S",2.61999917695078,0.00879299791797426,0.0263789937539228,TRUE,0.00933076192206513
"efficiency_benefits","M - S",2.49824918400124,0.0124808428003922,0.0249616856007844,TRUE,0.00933076192206513
"efficiency_tensions","M - S",2.77032283682839,0.00560007559783963,0.0168002267935189,TRUE,0.0191458887967124
